country,gdp_per_capita,inflation_cpi,population,unemployment_rate,youth_unemployment
Austria,58268.8787651601,2.93791574279375,9177982.0,5.2,10.864
Belgium,56614.5679499036,3.14349136500041,11858610.0,5.7,17.418
France,46103.0840855884,1.99904942291462,68551653.0,7.4,19.342
Germany,56103.7323182554,2.2564981433876,83516593.0,3.4,6.91
Italy,40385.3413957669,0.982373023061417,58952704.0,6.5,20.316
Netherlands,67520.4218956281,3.34754304219953,17993485.0,3.7,8.683
Poland,25103.565661423,3.79060897630197,36559233.0,2.807,10.656
Spain,35326.7683069278,2.77417826534772,48848840.0,11.4,26.519
Switzerland,103998.186685604,1.06234041976594,9005582.0,4.343,8.231
United Kingdom,53246.3676145108,3.2715729463592,69226000.0,4.361,14.29
